tSNE1,tSNE2,Split,Folder,NA_Type
6.8104386,-27.34432,Total,1PBR_benzimidazole_analog_rRNA_35,RNA
-36.811115,-18.316362,Total,2MIY,RNA
-34.604954,-18.305391,Total,1PBR_Piperidine_aminoglycoside_16S__A_site_RNA_mimic_1,RNA
-34.921936,-19.007448,Total,7WIF,RNA
-36.92916,-18.35874,Total,2B57,RNA
6.6634016,-14.044274,Total,1UUI_choro_imidazole_phenothiazine_der,RNA
21.739876,4.199495,Total,"2G9C_2,4,6-triamino-1,3,5-triazine",RNA
27.89153,-9.923981,Total,1PBR_Azepane_aminoglycoside_mimic_1,RNA
1.091822,-25.09264,Total,7XD5_L-Leucyl_-L-Arginine,RNA
0.39421222,-20.809809,Total,1PBR_tetraene_mol,RNA
0.38630342,-20.940443,Total,1PBR_benzimidazole_analog_rRNA_32,RNA
-28.255646,5.3713813,Total,"1PBR_4-hydroxy-2-oxo-N-(3-(piperidin-1-yl)propyl)-1,2-dihydroquinoline-3-carboxamide",RNA
-32.224728,5.2699614,Total,1PBR_DIONE_DERIVATIVE,RNA
-32.91591,6.609832,Total,7SXP_Compound_8,RNA
-31.444914,5.556248,Total,1PBR_benzimidazole_analog_rRNA_9,RNA
-29.998915,4.631282,Total,3S4P_33,RNA
-30.766708,4.642996,Total,"6UBU_pyrimido[1,2-a]purin-10(1H)-one",RNA
-29.580015,4.3726296,Total,2G5K_Paromamine,RNA
-25.90665,4.0744076,Total,6UC7_PC1,RNA
-25.452328,5.1590157,Total,1EVV_T4MPyP,RNA
-28.107447,4.056986,Total,1QD3_Neomycin_B,RNA
25.821602,-16.932188,Strat,8EYV,RNA
9.276078,-0.031093698,Total,1UUI_ST4133609,RNA
-34.372307,4.6294537,Total,8XZW_5-methyl-THF,RNA
25.754932,-16.894888,Total,1PBR_Deoxy_fluoro_paromomycin,RNA
10.699178,-1.4684337,Total,1PBR_benzimidazole_analog_rRNA_7,RNA
-7.2786355,-28.798412,Total,7SXP_Compound_6,RNA
-7.2999654,-28.967085,Total,5XI1_Sisomicin_Sullphate,RNA
14.568169,-17.144295,Total,5XI1,RNA
-8.192143,-31.930088,Total,1UUI_DB75,RNA
-9.596496,-34.44244,Strat,3TZR_Compd_42,RNA
-7.301625,-33.804783,Total,"5XI1_4-[5-(1,2,4-triazol-1-ylmethyl)-2,4-triazol-3-yl]pyridine",RNA
-7.065035,-32.84385,Total,8D28_Compound_31,RNA
-6.8179784,-33.30884,Total,7TZS_Molecule_4,RNA
-6.4882045,-33.509045,Total,5XI1_2-(4-thiocarbamoylphenyl)benzimidazole,RNA
-6.053977,-32.717583,Total,1PBR_Aminoglycoside_derivative_19,RNA
-8.395504,-33.51564,Total,8YAM,RNA
1.7678403,-16.537518,Total,2HOM_methyl_N-(4-acetylphenyl)carbamate_derivative,RNA
-14.508377,23.32127,Total,2L94,RNA
27.487795,-16.478197,Total,7XD5_L-2-Amino-4-guanidinic_butyric_acid,RNA
-23.276892,-1.5580161,Total,7TZS_Molecule_3,RNA
10.695305,-1.4627092,Total,8D28_Compound_36,RNA
-8.857509,-37.81038,Total,1AJU_DMA-182,RNA
-8.853781,-37.837456,Total,1PBR_4-methylquinolin-2-amine,RNA
-8.798649,-35.39956,Total,1PBR_Aminoglycoside_derivative_17,RNA
-40.318478,4.673958,Total,6VA2_Compound3,RNA
8.601272,-43.528133,Total,4K31,RNA
-32.116486,3.4424849,Total,1AJU_DMA-176,RNA
1.570682,-13.949305,Total,6XB7,RNA
-7.481724,9.099761,Strat,7TZS_Molecule_36,RNA
-7.4697776,-7.7166815,Total,7XD5_2-Guanidinio_Succinic_Acid,RNA
-33.03618,6.907954,Total,4TS2_DBrHBI,RNA
-32.16633,4.4195538,Total,1PBR_Aminoglycoside_derivative_10,RNA
-32.742344,5.0215316,Strat,4ERJ_Lysine,RNA
-31.056473,7.150658,Total,3IRW,RNA
-28.449453,5.4129596,Strat,7XD5_L-ORNITHINE,RNA
-26.83754,2.9972496,Total,1UUI_Mitoxantrone,RNA
-26.447231,3.7011802,Strat,4FE5_2-Amino-N6-Hydroxyadenine,RNA
-27.653543,3.1316166,Total,4YB1,RNA
23.47024,-12.825386,Total,"8D28_1,3-dimethyluric_acid",RNA
-14.120846,-23.900545,Total,4ZC7_G418,RNA
-3.6915944,36.867085,Strat,1UUI_Argininamide,RNA
-6.300738,32.197113,Total,8R8P,RNA
-0.89158696,29.490347,Total,4ERJ_N-ε-methyl_lysine,RNA
-2.4624484,31.207022,Strat,1PBR_benzimidazole_analog_rRNA_6,RNA
48.201393,3.9171188,Total,7SXP_Compound_7,RNA
-35.550823,-30.237476,Total,3TZR_Compd_43,RNA
49.87567,5.800939,Total,1UUI_DMA-191,RNA
22.450638,-33.42024,Total,3SLM,RNA
-36.105133,-24.375683,Total,1PBR_benzimidazole_analog_rRNA_1,RNA
50.8201,5.9812374,Total,7WII,RNA
6.3548875,-1.4379368,Total,4K31_G418,RNA
27.60372,8.434306,Total,1PBR_benzimidazole_analog_rRNA_33,RNA
-36.31275,-23.25904,Total,1F1T_malachite_green,RNA
-33.40444,-22.279203,Total,1EHT,RNA
-4.2154994,36.427155,Total,1PBR_Tobramycin,RNA
-3.9220269,27.99829,Strat,7XD5_Guanidinic_Formic_acid,RNA
-1.9370843,30.790741,Total,1PBR_benzimidazole_analog_rRNA_8,RNA
-3.000307,27.68117,Total,7SXP_Abemaciclib,RNA
-3.1367164,28.314512,Total,5XI1_Tobramycin_Sulphate,RNA
50.123413,2.5019376,Total,"1PBR_N1-(3,7-dimethoxynaphthalen-1-yl)pentane-1,4-diamine",RNA
50.29658,1.9385029,Total,1UUI_cpd25,RNA
38.84923,-12.317899,Total,1PBR_benzimidazole_analog_rRNA_34,RNA
48.71821,5.0446196,Total,6VA2_Guanidinoamine,RNA
47.211567,4.8475757,Total,8ABD_NDI-DM,RNA
50.101906,4.486501,Total,4YB0,RNA
49.232887,4.570217,Total,7WI9,RNA
48.210735,2.203439,Strat,6VA2_Compound2,RNA
48.40468,2.1518948,Total,1PBR_Aminoglycoside_derivative_16,RNA
52.178123,4.807007,Total,3LA5,RNA
51.28005,3.6087143,Total,1EVV_Kirromycin,RNA
22.78507,-4.7710657,Total,7TZS_Molecule_2,RNA
-4.6681886,34.438427,Total,5XI1_Rutin,RNA
0.29427812,30.288424,Total,1PBR_Aminoglycoside_derivative_20,RNA
0.8408471,31.056965,Total,2XNW,RNA
-3.4907892,29.207222,Total,1UUI,RNA
25.567148,12.237267,Strat,4JF2,RNA
0.33153743,44.764587,Total,1PBR_Quinolinyl_DOS_paromomycin_der_1,RNA
15.341751,4.593496,Total,7TZS_Molecule_39,RNA
15.434872,4.662231,Total,8D28_1-carboxypropyl_theophylline,RNA
-37.049904,-21.283146,Total,8D28_Compound_30,RNA
-30.192644,-20.114384,Total,1UUI_CMC3-2_Hoechst33258,RNA
24.89851,12.845783,Total,7TZS_Molecule_5,RNA
-3.6254392,3.1165164,Total,4YAZ,RNA
24.361687,12.966714,Total,1PBR_Aminoglycoside_derivative_18,RNA
10.649284,5.6198,Total,1J7T_Paromamine,RNA
8.847039,-19.022528,Total,"6UBU_4,6,7,8-tetrahydro-8-hydroxy-6-methylprimido[1,2-a]purin-10(3H)-one",RNA
8.932647,-18.823122,Total,7XD5_4-guanidinic_butyric_acid,RNA
22.028172,12.72756,Total,7TDA,RNA
-19.267504,-26.039555,Total,1PBR_Diamino_piperidinyl_triazine_8,RNA
-19.934004,-25.751534,Total,3TZR_Neomycin_B,RNA
-20.014874,-26.501188,Total,1PBR_Ethyl_paromomycin_derivative_2,RNA
-19.117876,-25.634098,Total,6VA2_Amatantrone,RNA
-34.444855,-2.8971865,Total,6DMC_PRPP,RNA
-20.324984,-25.750586,Total,5XI1_Levofloxacin,RNA
-19.185751,-26.397991,Total,7XD5_Guanyl-Urea,RNA
-20.293987,-25.276693,Total,6DME,RNA
-20.689955,-27.082785,Total,8OM0,RNA
4.3688765,-20.187887,Total,6E1S,RNA
0.57606727,-7.9481597,Strat,3D0U,RNA
0.656256,-8.282291,Total,4ERJ_ethyl-ester_lysine,RNA
0.80498505,-8.310006,Total,4W90,RNA
2.5080028,-8.463381,Total,8D2B,RNA
0.18270005,-18.296371,Total,1PBR_Neamine_derivative_6,RNA
1.7566615,-24.214273,Total,8XZW_6-Biopterin,RNA
1.738919,-24.22231,Total,1PBR_Diamino_piperidinyl_triazine_1,RNA
-16.640335,-31.816961,Total,6E8U_TO3-Biotin,RNA
7.334045,-0.7142225,Total,6YLB,RNA
-3.7812169,22.35489,Total,7EOM,RNA
0.089718916,-19.889523,Total,1UUI_hydroxymethyl_piperidinyl_butyl,RNA
-2.8646247,-4.866597,Strat,1PBR_Acyclic_DOS_mimic_2_naphthyl_substituent,RNA
30.895638,-8.420548,Total,1PBR_Diamino_piperidinyl_triazine_6,RNA
-15.194972,-25.68433,Total,1PBR_Neamine_derivative_1,RNA
-3.797672,22.803955,Total,1PBR_Heterocyclic_paromomycin_derivative_2,RNA
-14.335537,-32.88845,Total,3LA5_ligand_3,RNA
-14.323236,-31.602798,Total,1NEM,RNA
3.5326123,-7.270644,Total,1UUI_Acetylpromazine,RNA
-0.064127,-7.8894467,Total,7XD5_L-_L_lysine,RNA
0.11781871,-8.23639,Total,7ELP,RNA
3.4308705,-8.732435,Total,7XD5_L-citrulline,RNA
27.220829,-29.766914,Total,6E8U,RNA
27.083714,-29.888212,Total,1PBR_Spiro-ether_compound_10,RNA
5.6524234,-14.9631195,Total,7SXP_Hit_S8,RNA
24.655584,17.41088,Strat,7SXP_NRAS_SAR_6,RNA
48.68601,5.6897407,Total,1UUI_Amikacin,RNA
7.026477,-14.541434,Total,3NPN,RNA
51.33273,1.4114254,Total,2ET3,RNA
42.24671,-14.211603,Total,1PBR_3-(azepan-1-ylmethyl)-2-methylquinolin-4-ol,RNA
42.336792,-14.113912,Total,6WZR_Compound5,RNA
1.491437,44.839626,Total,4LX5,RNA
-4.5419474,36.79495,Strat,2ET4,RNA
-4.6227455,34.144558,Total,6DN3,RNA
-3.754816,34.19646,Total,7XD5_L-Canavanine,RNA
-2.5707026,36.73934,Total,6YL5,RNA
-18.64937,39.069916,Strat,6WZR_Compound2,RNA
22.44457,-33.425842,Total,6DB8,RNA
-34.221516,-30.656841,Total,1PBR_Quinolinyl_DOS_der,RNA
-32.41629,-13.657784,Total,3GOT,RNA
14.290141,14.9320345,Total,3FO4_6-methylaminopurine,RNA
14.932471,15.142981,Total,6UBU_O6-benzylguanine,RNA
5.474735,22.790216,Total,7EOL,RNA
17.468708,12.026506,Total,1PBR_Diamino_piperidinyl_triazine_7,RNA
-2.534575,2.3565683,Total,1PBR_Heterocyclic_paromomycin_derivative_3,RNA
8.712772,-13.4084835,Total,6UBU_N2-pivaloylguanine,RNA
-4.1474204,9.674391,Total,6QIQ,RNA
-4.9635115,9.463631,Total,7EOK,RNA
-1.7257313,29.959146,Total,1PBR_Heterocyclic_paromomycin_derivative_4,RNA
-7.83304,30.281546,Total,2B57_Adenine,RNA
-4.2629433,37.147602,Total,4GMA,RNA
-10.055476,30.764301,Total,1PBR_Neamine_derivative_7,RNA
-5.108015,36.184933,Total,1EVV_Quercetin,RNA
30.446453,9.305678,Total,1EVV_Tobramycin,RNA
-6.4453254,-9.172772,Total,1PBR_Diamino_piperidinyl_triazine_9,RNA
-7.861346,30.401533,Total,1I9V,RNA
-7.2300735,36.23214,Total,2MNE_thiazotrop-sin_B,RNA
-5.7301307,25.79753,Total,2KX8,RNA
29.985012,13.605303,Strat,6DMD,RNA
29.933743,13.649336,Total,1PBR_Neamine_derivative_30,RNA
30.596884,9.535809,Total,1AJU_L-Lysine,RNA
17.439976,12.056677,Total,3DS7,RNA
17.425123,11.958443,Total,6DMC,RNA
0.1364982,4.583641,Total,2FD0,RNA
3.6740615,15.913919,Total,6E1U,RNA
14.3539,5.4379907,Total,7XD5_UREA,RNA
13.901558,5.5436473,Total,6DN2,RNA
30.58906,12.820941,Total,3S4P,RNA
2.0730615,1.67504,Total,6HMO,RNA
30.801792,10.177947,Total,4Q9Q,RNA
-38.24255,-10.834854,Strat,2ET5,RNA
-38.24255,-10.837424,Total,6WZR_Compound3,RNA
50.49639,2.2815092,Total,8D28_Compound_3,RNA
40.587864,-12.630843,Total,5BJP,RNA
39.785328,-13.441101,Total,"1PBR_4-pyridineacetamide,_N-_[2-_(dimethylamino)-4-methyl-7-quinolinyl]",RNA
38.355938,-13.732017,Total,9CPI,RNA
37.424976,-13.176172,Total,8D28_Compound_4,RNA
40.08725,-14.037108,Total,7EOP,RNA
39.62047,-14.728172,Total,6WZR_Compound4,RNA
40.2707,-16.094732,Strat,4LW0,RNA
37.014065,-27.443302,Total,6E81,RNA
37.224533,-14.484744,Total,1PBR_apramycin,RNA
38.556076,-15.3920965,Total,1UUI_Neomycin,RNA
38.81453,-13.316362,Total,3L3C,RNA
-28.942726,-33.86,Total,1PBR_Paromomycin,RNA
-27.874325,-33.3766,Total,6E8T,RNA
3.492375,20.15468,Total,1UUI_3_phenothiazine_analog_1,RNA
4.592674,23.075764,Total,7XD5_L-homoarginine,RNA
23.920675,14.765946,Total,6E8S,RNA
3.3695273,18.905708,Total,1EVV_Neomycin,RNA
4.8406754,19.348131,Total,5XI1_Lamivudine,RNA
-29.060448,-33.89956,Strat,9CPG,RNA
40.402092,-8.885243,Total,1LC4,RNA
41.843544,-9.142061,Total,7ELQ,RNA
39.919495,-8.850819,Total,1PBR_Neamine_derivative_29,RNA
42.92367,-11.388501,Total,5XI1_Kaempferol,RNA
40.880116,-11.064427,Strat,8OLS,RNA
41.39347,-11.167593,Total,1PBR_Bifunctional_aminoglycoside_derivative_4,RNA
42.221226,-10.752321,Total,2G9C,RNA
42.02908,-10.335471,Total,7SXP_NRAS_compound_1,RNA
40.93061,-10.061455,Total,"1PBR_6,7-dimethyl-1H-1,3-benzodiazol-2-amine",RNA
43.0688,-9.134065,Total,6IZP,RNA
41.62736,-9.72891,Total,7XD5_N_Benzoyl-L-Arginine_Ethyl_Ester,RNA
-10.5459385,-35.161995,Total,2AU4,RNA
40.857746,-10.537862,Total,7XD5_L-2-Hydroxy-5-Guanidic_valericacid,RNA
38.897747,-8.312281,Total,1PBR_Bifunctional_aminoglycoside_derivative_3,RNA
-37.23483,-16.52521,Total,5V3F,RNA
-35.422813,-22.9895,Total,7SXP_Valnemulin,RNA
-33.145493,-21.825787,Strat,1PBR_Neamine_derivative_18,RNA
-35.96699,-22.674614,Total,"1UUI_3-(4-methoxy-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine",RNA
-27.313576,-35.79751,Total,6YMM,RNA
-26.987818,-32.973747,Total,"1PBR_8-bromo-3-(2-(piperazin-1-yl)ethyl)-3H-pyrimido[5,4-b]indol-4(5H)-one",RNA
-26.90211,-32.80959,Total,7XD5_Ethyl_Guanidinium,RNA
-27.027254,-33.070007,Total,1PBR_Neamine_derivative_27,RNA
-27.194973,-32.61603,Total,1FMN,RNA
-26.592257,-35.761765,Total,4NYG,RNA
-26.585413,-35.665245,Total,7A3Y_PAM,RNA
-26.543829,-35.629047,Total,"1PBR_5,6-dimethyl-1H-1,3-benzodiazole",RNA
2.8662796,43.886616,Total,8OLZ,RNA
-18.491837,-18.622736,Strat,1DDY,RNA
13.04637,15.021911,Total,3F4H,RNA
10.409493,10.363033,Total,3F2Q,RNA
12.020424,10.278432,Total,1UUI_N_N_dimethyl_amiloride,RNA
9.706969,12.198134,Total,1PBR_Bekanamycin,RNA
11.257621,10.416036,Total,6WZR_Compound10,RNA
11.832996,10.845781,Total,5XI1_Thiazole_Orange,RNA
11.584846,11.106158,Total,4Q9Q_FBI,RNA
11.786644,10.501361,Total,1PBR_Neamine_derivative_20,RNA
9.716904,12.200668,Total,7U0Y,RNA
11.223785,10.07609,Total,6DLQ,RNA
5.312715,33.189953,Total,1PBR_Ligand3_16S_A-site_RNA,RNA
-3.468279,28.157942,Total,8YAM_Compound_2,RNA
17.296219,-30.515694,Total,1PBR_Neamine_mimic_6,RNA
-34.93431,-10.5838785,Strat,2HOO,RNA
21.677528,-27.754452,Total,2HOM_N6-1-Iminoethyl-L-lysine,RNA
17.307835,-30.51603,Strat,7D7W,RNA
-18.604269,39.71205,Total,1QD3_gentamicin_mol,RNA
31.048828,-8.96391,Total,3TZR_IRAB,RNA
36.864918,-9.804233,Total,1PBR_7-hydroxy-3-(2-methoxyphenyl)-8-(piperidin-1-ylmethyl)-4H-chromen-4-one,RNA
36.296253,-9.587825,Total,8YAM_Compound_5,RNA
39.14759,-12.100294,Strat,7XD5_D_arginine,RNA
30.157183,-10.225064,Total,"1PBR_3-methyl-7-(2-(piperidin-1-yl)ethyl)-1H-purine-2,6(3H,7H)-dione",RNA
0.9397398,44.872284,Total,1PBR_Acyclic_DOS_mimic_3_benzyl_substituent,RNA
17.120972,7.189857,Total,2XNW_compund_28,RNA
0.1474559,44.708145,Total,1UUI_Xanthinol,RNA
3.3160486,20.017094,Total,1PBR_Neamine_mimic_1,RNA
-11.863703,28.823221,Total,1PBR_Spiro-compound_7,RNA
4.7551937,19.357603,Strat,1PBR_Neamine_mimic_8,RNA
0.43479964,15.863302,Total,7D81,RNA
-5.080184,38.769123,Total,4ERJ_N-ε-acetyl_lysine,RNA
-2.7169292,29.78477,Total,6OD9_Compound9,RNA
-0.007355104,28.853558,Total,2FCY,RNA
12.537679,29.584158,Total,1UUI_S-Amino_acid_conjugate_13b,RNA
-12.157561,28.352272,Total,7SXP_NRAS_SAR_24,RNA
13.159381,29.343351,Total,1UUI_DMA-205,RNA
12.482175,29.642511,Total,5XI1_Tartrazine,RNA
-5.0562725,38.856754,Total,2GIS_S-adenosyl_methionine,RNA
-5.8939366,36.362278,Total,2ESI,RNA
5.3851304,10.62599,Total,7SZU,RNA
-21.555515,12.114543,Total,8D5O,RNA
-21.677652,12.251339,Total,1ET4,RNA
-11.080367,-0.11269009,Total,"1PBR_1H-1,3-benzodiazol-2-amine",RNA
-11.990036,14.267095,Total,4LVZ_8-aminoadenine,RNA
-11.666873,15.997734,Total,5KX9,RNA
-12.52696,15.53316,Strat,3NPQ_ATP,RNA
-12.932027,15.164443,Total,8F0N,RNA
-12.435313,15.720212,Total,1PBR_Nitro_substituted_benzimidazole_16S_A-site_RNA,RNA
-16.788403,-15.747552,Total,4NYA,RNA
28.710358,7.018172,Total,5UEG,RNA
29.365461,7.1483626,Total,6YML,RNA
28.821093,7.042679,Total,1PBR_Neamine_derivative_19,RNA
15.825077,21.272722,Total,"4LVZ_6-hydroxy-2,4,5-triaminopyrimidine",RNA
-3.6729925,23.179146,Total,6GZK,RNA
-11.690984,17.014654,Total,1PBR_Neamine_derivative_26,RNA
-38.18297,-20.878359,Total,5V0H,RNA
-23.217054,25.222485,Total,1UUI_Compound_3aa,RNA
-31.05527,-24.50884,Total,7TZS_Z1,RNA
-30.89753,-23.758402,Total,8HZF,RNA
-32.61984,-24.925058,Total,1PBR_Bifunctional_aminoglycoside_derivative_2,RNA
-32.233524,-25.225828,Total,3F4G,RNA
-34.267563,9.265101,Total,6DN3_BRX1027,RNA
-33.239433,-24.339697,Total,2B57_Hypoxanthine,RNA
-34.97149,-20.999245,Strat,4Q9Q_MeOBI,RNA
-34.486675,-21.207659,Total,1AJU_NG-Monomethyl_arginine,RNA
-14.441388,-31.34892,Total,"1Y27_2,6-diaminopurine",RNA
-37.88657,-21.182526,Total,1QD3_Streptomycin,RNA
-37.11892,-16.627127,Total,1PBR_Neamine_derivative_28,RNA
10.312391,6.964724,Total,5V0O,RNA
26.20745,16.85095,Total,7REX,RNA
26.228573,16.824438,Total,8CF2,RNA
29.74105,9.410025,Total,1PBR_Bifunctional_aminoglycoside_derivative_5,RNA
29.393042,8.242127,Strat,7XD5_Guanidine-acetic_acid,RNA
29.693878,9.319201,Total,1ZZ5,RNA
30.501677,-10.101017,Total,2PWT,RNA
25.172249,16.075258,Strat,1PBR_ADMND-C2-NH2,RNA
-26.1483,32.28908,Total,1EVV_CMC3-1_Hoechst33258,RNA
-26.340958,32.740074,Total,2B57_2-Aminopurine,RNA
-10.151095,3.6726499,Total,1PBR_Neamine_mimic_9,RNA
-2.7310593,6.912383,Total,7D7X,RNA
-36.0644,-7.1981115,Total,1PBR_Spiro-compound_6,RNA
-16.779272,-15.747739,Total,3SUX,RNA
-10.444397,-20.506477,Total,8CF2_SMN-C5,RNA
27.273375,9.988405,Strat,2FCX,RNA
-16.560074,18.86023,Total,7XD5_Guanidinium,RNA
-1.8105898,37.67981,Total,8D28_1-methylxanthine,RNA
-2.6158617,37.297573,Total,2BE0,RNA
32.53472,12.657045,Total,4LVZ,RNA
32.296944,12.730261,Total,8YAM_Compound_3,RNA
33.34502,12.600641,Total,1J7T_Butirosin,RNA
8.010682,18.316406,Total,3Q50,RNA
8.159784,18.013222,Strat,4Q9Q_HBI,RNA
6.3864098,26.498526,Total,4Q9Q_BI,RNA
7.955188,18.900692,Total,3FO4_6-bromoguanine,RNA
13.663412,28.153563,Total,1PBR_Neamine_mimic_7,RNA
7.0127344,-31.0191,Total,"1PBR_6-chloro-3-((4-methyl-1,4-diazepan-1-yl)methyl)-4H-chromen-4-one",RNA
-9.013658,-23.69253,Total,7E9I,RNA
-1.2741191,-10.070805,Total,"1UUI_3-(2-methoxy-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine",RNA
-22.608948,24.73043,Total,1PBR_Perazidoparomomycin_derivative_12,RNA
-20.739119,-7.5681086,Total,1PBR_Ligand5_16S_A-site_RNA,RNA
-25.499773,-4.030788,Total,1PBR_benzimidazole_analog_rRNA_12,RNA
-14.657483,23.085632,Strat,6WZR,RNA
-16.773335,24.603853,Total,7SXP_Compound_16,RNA
-20.295473,-8.111329,Total,4KQY_SAC,RNA
-2.2897897,-11.420754,Total,1Y27,RNA
5.4538145,11.180722,Total,1PBR_Perazidoparomomycin_derivative_15,RNA
-2.5357993,-13.130159,Total,2PWT_aminoglycoside_3,RNA
1.4822172,-12.98636,Total,3S4P_14,RNA
0.98711306,-11.706136,Total,5UX3,RNA
-1.1628911,-11.461635,Total,2L1V,RNA
-15.088939,22.298122,Total,1PBR_benzimidazole_analog_rRNA_15,RNA
-2.6899276,-13.269963,Total,4RUM,RNA
-1.0207496,-11.531853,Total,1PBR_Perazidoparomomycin_derivative_23,RNA
-30.798874,0.6373989,Total,7SXP_Compound_18,RNA
-0.88564813,-10.539581,Total,1J7T_Apramycin,RNA
19.433348,-13.898875,Total,1PBR_dimethylamino_quinolinyl_pyridinyl_acetamide,RNA
-0.79423714,-11.425311,Total,1PBR_benzimidazole_analog_rRNA_23,RNA
-26.621687,-4.5824723,Total,3E5C,RNA
-27.147367,-4.908819,Total,4QLN,RNA
0.96591663,-11.530962,Total,3S4P_25,RNA
19.092804,-13.950408,Total,1UUI_2-chloro-10-[2-(2-methylpyrrolidin-1-yl)ethyl]_phenothiazine_der,RNA
-39.56294,7.8120832,Total,5SWE,RNA
2.319142,-12.708056,Strat,1PBR_Kasugamycin,RNA
-32.315132,-2.7527816,Total,1PBR_benzimidazole_analog_rRNA_24,RNA
19.359606,-13.783729,Total,5XI1_Daidzein,RNA
6.5956845,-44.933918,Total,1UUI_DMA-188,RNA
-7.0002103,7.423359,Total,3DIR,RNA
-9.293487,3.6419554,Total,8XZM,RNA
-9.299662,3.697592,Total,1UUI_2-chloro-10-methylpyrrolidin_phenothiazine_der,RNA
-5.818243,9.125249,Total,4LVZ_6S-tetrahydrofolate,RNA
-5.2021594,13.653137,Total,8D28_Compound_29,RNA
-26.098223,15.609179,Total,1PBR_Spiro-ether_compound_3,RNA
-5.2106595,13.664178,Total,1PBR_Ether_paromomycin_derivative_5,RNA
7.080897,-30.859457,Total,6CK5,RNA
28.363848,13.93914,Total,1PBR_Perazidoparomomycin_derivative_8,RNA
1.9048972,5.2869763,Total,1AJU_DMA-194,RNA
-13.384528,3.2719343,Total,1EVV_Methidiumpropyl-EDTA(MPE),RNA
32.144722,17.380306,Total,1PBR_Spiro-ether_compound_4,RNA
7.429464,3.5247197,Strat,1PBR_Aminoglycoside_derivative_2,RNA
0.6871089,5.3952603,Total,3TZR_Compd_36,RNA
28.666914,11.877558,Total,2F4U,RNA
27.2278,33.280243,Total,3DIG,RNA
1.9195892,4.820788,Total,7XD5_L-2-Amino-3-guanidinic_propionic_acid,RNA
31.737932,16.880758,Strat,8D28_Compound_11,RNA
28.584023,11.844981,Total,"1PBR_2-((2,2,6,6-tetramethylpiperidin-4-ylamino)methyl)phenol",RNA
-7.13317,14.858003,Total,7TZS_Molecule_11,RNA
-8.185785,13.319508,Total,1PBR_Perazidoparomomycin_derivative_6,RNA
-7.2848873,14.709697,Total,4K31_Paromomycin,RNA
-8.041978,14.058982,Total,1PBR_benzimidazole_analog_rRNA_41,RNA
-21.326344,19.166676,Total,8D28_Compound_18,RNA
-28.899183,-1.9566251,Strat,3FO6,RNA
-27.470493,15.587421,Total,1PBR_methylpyridine_der_5,RNA
-27.42418,15.570777,Total,2KGP,RNA
-24.26749,16.144709,Total,8D28_Compound_27,RNA
7.146572,-31.301899,Total,6BFB_ribocil-C,RNA
-24.646358,15.979315,Total,6UBU_8-hydroxyguanine,RNA
6.7380953,-30.730867,Total,1PBR_benzimidazole_analog_rRNA_46,RNA
-13.019996,-20.634727,Total,3TZR_Compd_38,RNA
2.6330025,44.45374,Total,1PBR_Perazidoparomomycin_derivative_1,RNA
-2.494371,-19.218395,Strat,1PBR_N1-isopropyl-N2-(2-(4-(4-methylbenzoyl)piperazin-1-yl)ethyl)oxalamide,RNA
16.947948,8.292847,Total,4GXY,RNA
15.313053,3.816595,Total,8D28_Compound_20,RNA
6.9387674,-0.17930879,Total,1PBR_methylpyridine_der_2,RNA
7.4167986,3.3015604,Total,3SD3,RNA
-3.290117,-23.506523,Total,3DJ0,RNA
-15.836429,-18.92676,Total,6TFF,RNA
8.420342,-20.712015,Total,5SWD,RNA
-18.359041,39.015938,Total,5XI1_Trifluoperazine,RNA
7.471025,-8.528217,Total,1EVV_Lividomycin,RNA
-12.193135,-21.540594,Total,3S4P_24,RNA
25.052027,7.139315,Total,3E5E,RNA
24.484732,6.078183,Total,6UBU_NU2058,RNA
24.366714,5.945347,Total,1PBR_benzimidazole_analog_rRNA_25,RNA
24.343155,5.885886,Total,3S4P_23,RNA
0.6994698,3.018024,Total,2BEE_paromomycin,RNA
-11.908185,-21.946192,Total,7KVV,RNA
5.1500216,-13.383213,Total,1PBR_Pactamycin,RNA
5.1510086,-13.3787,Total,1PBR_Perazidoparomomycin_derivative_22,RNA
5.8151636,26.508823,Strat,1PBR_benzimidazole_analog_rRNA_22,RNA
-12.190393,-21.535168,Total,1PBR_Ligand2_16S_A-site_RNA,RNA
-20.899847,-15.2478695,Total,1UTS,RNA
6.0729804,23.15201,Total,1PBR_3-quinolinecarboxamide,RNA
-11.268734,-25.397192,Total,1PBR_N-(2-morpholinoethyl)-1-(naphthalen-1-ylmethyl)piperidine-4-carboxamide,RNA
-7.021302,-13.162752,Total,8D28_7-methylxanthine,RNA
-7.1659307,-13.119889,Total,2PWT_aminoglycoside_2,RNA
-7.1588163,-13.122723,Total,"1PBR_4-(4,5-bis(azepan-1-ylmethyl)-1H-1,2,3-triazol-1-yl)-1,2,5-oxadiazol-3-amine",RNA
13.456736,16.852797,Strat,1UUI_Quinacridone,RNA
-36.043533,-7.2056575,Total,"1PBR_2-N,2-N-dimethylquinoline-2,4-diamine",RNA
-13.004839,-22.681751,Total,1Y26,RNA
27.051407,13.518988,Total,1PBR_Perazidoparomomycin_derivative_14,RNA
27.281061,13.113293,Total,1UUI_DMA-187,RNA
